"name","type","par1","par2","K","J_optim","J_forward","J_noctl","J_ode","gap_pct","time_sec"
"BA_m20_K5","BA",0.2,10,5,370.5809,409.3889,854.4525,563.314,-27.32,46.9
"BA_m20_K20","BA",0.2,10,20,381.2333,430.2383,780.8295,563.314,-23.62,181.5
"BA_m20_K100","BA",0.2,10,100,374.2873,398.5423,789.3105,563.314,-29.25,827.4
"BA_m50_K5","BA",0.5,10,5,484.4102,490.6967,1049.895,563.314,-12.89,46.8
"BA_m50_K20","BA",0.5,10,20,466.8531,490.4811,1125.8775,563.314,-12.93,190.4
"BA_m50_K100","BA",0.5,10,100,475.4634,522.2574,1157.5575,563.314,-7.29,692.3
"BA_m90_K5","BA",0.9,10,5,529.8242,548.1227,1260.501,563.314,-2.7,41.6
"BA_m90_K20","BA",0.9,10,20,562.8732,575.9907,1245.486,563.314,2.25,90
"BA_m90_K100","BA",0.9,10,100,547.4112,598.4292,1268.355,563.314,6.23,558.6
"ER_p02_K5","ER",0.2,10,5,351.4071,402.7386,616.506,563.314,-28.51,41.8
"ER_p02_K20","ER",0.2,10,20,332.0875,356.491,614.988,563.314,-36.72,85.5
"ER_p02_K100","ER",0.2,10,100,361.529,396.938,582.087,563.314,-29.54,223.1
"ER_p05_K5","ER",0.5,10,5,404.0674,434.5099,931.788,563.314,-22.87,43.7
"ER_p05_K20","ER",0.5,10,20,414.823,441.19,954.3765,563.314,-21.68,92.7
"ER_p05_K100","ER",0.5,10,100,406.4169,436.8759,923.703,563.314,-22.45,391.4
"ER_p09_K5","ER",0.9,10,5,504.1719,575.8809,1179.4365,563.314,2.23,38.8
"ER_p09_K20","ER",0.9,10,20,492.4473,563.9583,1182.2745,563.314,0.11,64.9
"ER_p09_K100","ER",0.9,10,100,522.4822,527.6632,1156.584,563.314,-6.33,237.4
"WS_p02_k5_K5","WS",0.2,5,5,332.8219,362.3404,520.971,563.314,-35.68,54.2
"WS_p02_k5_K20","WS",0.2,5,20,334.1862,377.3832,491.403,563.314,-33.01,105
"WS_p02_k5_K100","WS",0.2,5,100,359.1068,358.9748,520.2285,563.314,-36.27,410.4
"WS_p02_k10_K5","WS",0.2,10,5,349.3319,387.1664,588.8355,563.314,-31.27,24.6
"WS_p02_k10_K20","WS",0.2,10,20,344.7735,351.291,586.5915,563.314,-37.64,123
"WS_p02_k10_K100","WS",0.2,10,100,369.0238,398.5918,653.4495,563.314,-29.24,282.8
"WS_p02_k20_K5","WS",0.2,20,5,406.0334,422.7974,768.3225,563.314,-24.94,24.6
"WS_p02_k20_K20","WS",0.2,20,20,411.9925,484.675,793.452,563.314,-13.96,144
"WS_p02_k20_K100","WS",0.2,20,100,423.0996,467.9631,767.4315,563.314,-16.93,410.7
"WS_p05_k5_K5","WS",0.5,5,5,330.5777,357.5552,513.3975,563.314,-36.53,43.4
"WS_p05_k5_K20","WS",0.5,5,20,329.7891,361.7496,490.479,563.314,-35.78,89.2
"WS_p05_k5_K100","WS",0.5,5,100,355.9913,382.5893,521.7135,563.314,-32.08,279.1
"WS_p05_k10_K5","WS",0.5,10,5,354.9115,389.9575,638.022,563.314,-30.77,28.5
"WS_p05_k10_K20","WS",0.5,10,20,348.1155,380.4885,606.045,563.314,-32.46,119.3
"WS_p05_k10_K100","WS",0.5,10,100,342.437,389.924,607.134,563.314,-30.78,615.1
"WS_p05_k20_K5","WS",0.5,20,5,376.7283,426.1128,822.2775,563.314,-24.36,42.6
"WS_p05_k20_K20","WS",0.5,20,20,399.6021,449.0691,832.6065,563.314,-20.28,120.4
"WS_p05_k20_K100","WS",0.5,20,100,405.7186,429.8251,830.9895,563.314,-23.7,521.2
"WS_p09_k5_K5","WS",0.9,5,5,313.5498,369.8643,517.539,563.314,-34.34,27.1
"WS_p09_k5_K20","WS",0.9,5,20,323.7574,355.7509,507.705,563.314,-36.85,123.6
"WS_p09_k5_K100","WS",0.9,5,100,320.0045,354.737,494.9835,563.314,-37.03,574.3
"WS_p09_k10_K5","WS",0.9,10,5,329.8711,378.4471,598.29,563.314,-32.82,37.2
"WS_p09_k10_K20","WS",0.9,10,20,366.9067,393.7027,638.8305,563.314,-30.11,127
"WS_p09_k10_K100","WS",0.9,10,100,354.4629,413.6319,633.303,563.314,-26.57,481.9
"WS_p09_k20_K5","WS",0.9,20,5,390.472,420.139,865.59,563.314,-25.42,50.5
"WS_p09_k20_K20","WS",0.9,20,20,389.0587,422.1412,850.6575,563.314,-25.06,142.6
"WS_p09_k20_K100","WS",0.9,20,100,378.1893,449.8323,826.947,563.314,-20.15,900.1
